Aberdeenshire W & Kincardine,Aberdeenshire West & Kincardine
Antrim East,East Antrim
Antrim North,North Antrim
Antrim South,South Antrim
Ashton under Lyne,Ashton-under-Lyne
Basildon South,Basildon South & Thurrock East
Berwickshire,"Berwickshire, Roxburgh & Selkirk"
Carmarthen West & Pembrokeshire,Carmarthen West & Pembrokeshire South
City of Chester,"Chester, City of"
City of Durham,"Durham, City of"
Down North,North Down
Down South,South Down
Dunfermline & Fife West,Dunfermline & West Fife
Ealing Central,Ealing Central & Acton
Londonderry East,East Londonderry
Faversham & Kent Mid,Faversham & Mid Kent
Herefordshire South,Hereford & Herefordshire South
Ochil & Perthshire South,Ochil & South Perthshire
Perth & Perthshire North,Perth & North Perthshire
Plymouth Sutton,Plymouth Sutton & Devonport
Romsey & Soton North,Romsey & Southampton North
The Cotswolds,"Cotswolds, The"
The Wrekin,"Wrekin, The"
Tyrone West,West Tyrone
Western Isles,Na h-Eileanan an Iar (Western Isles)
